crates/proxy/src/protocol.rs:232:58: replace == with != in FrameReader<R>::read_startup
crates/proxy/src/protocol.rs:265:5: replace try_take_startup -> Result<Option<StartupPacket>> with Ok(None)
crates/proxy/src/protocol.rs:265:18: replace < with == in try_take_startup
crates/proxy/src/protocol.rs:265:18: replace < with > in try_take_startup
crates/proxy/src/protocol.rs:265:18: replace < with <= in try_take_startup
crates/proxy/src/protocol.rs:273:8: delete ! in try_take_startup
crates/proxy/src/protocol.rs:276:18: replace < with == in try_take_startup
crates/proxy/src/protocol.rs:276:18: replace < with > in try_take_startup
crates/proxy/src/protocol.rs:276:18: replace < with <= in try_take_startup
crates/proxy/src/protocol.rs:291:5: replace read_i16 -> Option<i16> with None
crates/proxy/src/protocol.rs:291:5: replace read_i16 -> Option<i16> with Some(0)
crates/proxy/src/protocol.rs:291:5: replace read_i16 -> Option<i16> with Some(1)
crates/proxy/src/protocol.rs:291:5: replace read_i16 -> Option<i16> with Some(-1)
crates/proxy/src/protocol.rs:291:18: replace < with <= in read_i16
crates/proxy/src/protocol.rs:298:5: replace read_i32 -> Option<i32> with None
crates/proxy/src/protocol.rs:298:5: replace read_i32 -> Option<i32> with Some(0)
crates/proxy/src/protocol.rs:298:5: replace read_i32 -> Option<i32> with Some(1)
crates/proxy/src/protocol.rs:298:5: replace read_i32 -> Option<i32> with Some(-1)
crates/proxy/src/protocol.rs:298:18: replace < with <= in read_i32
